ApplNo,SubmissionNo,SponsorName,event_year,y,p_oof
211994,13,VIIV HLTHCARE,2022,0,0.20277913209185772
022393,17,BRISTOL-MYERS,2021,0,0.18729182428950727
761055,64,REGENERON PHARMACEUTICALS,2024,0,0.18710524224540576
204508,22,BAXTER HLTHCARE CORP,2024,0,0.1850541451576055
021345,52,MYLAN IRELAND LTD,2024,0,0.1793911075618844
761090,10,DYAX CORP.,2023,0,0.17834687301200508
125554,125,BRISTOL MYERS SQUIBB,2024,0,0.17538179321835615
208743,9,RADIUS,2021,0,0.16486958462722226
207318,90001,ACADIA PHARMS INC,2021,1,0.16234752657159904
217026,1,ACADIA PHARMS INC,2024,0,0.14445508406787003
209115,13,PHARMAAND,2022,0,0.14240946511545557
021938,39,CPPI CV,2021,0,0.1383004280174514
203415,19,ASTELLAS,2022,0,0.1382639307611768
020988,70,WYETH PHARMS,2024,0,0.13758204518746386
209816,11,PARATEK PHARMS,2021,0,0.13656381748659593
208627,6,SIGA TECHNOLOGIES,2021,0,0.132099714137659
209241,20,NEUROCRINE,2021,0,0.12877922152617574
125514,180,MERCK SHARP DOHME,2025,0,0.12326166730702404
761127,2,"REVANCE THERAPEUTICS, INC.",2023,0,0.1200156813026316
202022,16,JANSSEN PRODS,2022,0,0.11563687828898486
211994,12,VIIV HLTHCARE,2022,0,0.11544547469171729
201194,9,VISTAPHARM LLC,2021,0,0.11386153894617719
125514,172,MERCK SHARP DOHME,2025,0,0.1131188856952677
210875,6,SUMITOMO PHARMA AM,2022,0,0.11197342114445807
200534,10,GENUS LIFESCIENCES,2021,0,0.11186819742020869
213217,4,BEONE MEDICINES USA,2021,0,0.10847626500994881
209500,5,INTRA-CELLULAR,2021,0,0.1068918205333034
125514,170,MERCK SHARP DOHME,2025,0,0.10594600945421544
209363,12,EVOFEM INC,2021,0,0.09744675532601196
207958,19,APRECIA PHARMS,2021,0,0.09232209090660765
209949,6,HIKMA,2021,0,0.08645146946173109
208843,3,THERAVIA,2021,0,0.08502502828567327
022408,10,CIPHER,2021,0,0.0840477483763814
125554,127,BRISTOL MYERS SQUIBB,2024,0,0.08350721853527773
214103,3,ALNYLAM PHARMS INC,2022,0,0.07899535434102035
125514,178,MERCK SHARP DOHME,2025,0,0.0782705047388214
215383,12,MERCK SHARP DOHME,2025,0,0.07825711713031064
202207,12,CARDINAL HEALTH 414,2021,0,0.0762717907850681
761363,7,MERCK SHARP DOHME,2025,0,0.07601694634751716
208419,2,ACTAVIS,2022,0,0.07597123676641594
204141,9,SUN PHARMA CANADA,2021,0,0.07584865239309276
761235,1,GENENTECH INC,2023,0,0.07491415257821532
125554,114,BRISTOL MYERS SQUIBB,2022,0,0.07363155490128194
209472,5,EAGLE PHARMS,2022,0,0.07232764087404184
022202,13,ASSERTIO SPECLTY,2021,0,0.07202169409965588
214121,1,ACCORD HLTHCARE,2022,0,0.06939039080975314
206709,3,BIOCODEX SA,2022,0,0.06765374507722702
761224,1,ASTRAZENECA AB,2023,0,0.06740579442212134
208419,3,ACTAVIS,2022,0,0.06618513859648166
208419,4,ACTAVIS,2022,0,0.06558673654528013
761116,5,STEMLINE THERAPEUTICS INC,2022,0,0.06519433415291485
214662,4,MIRUM,2023,0,0.06470897174275374
761055,66,REGENERON PHARMACEUTICALS,2024,0,0.0631408256159063
761065,13,THERATECHNOLOGIES,2022,0,0.06280981731884586
761067,14,SUN PHARMA GLOBAL,2022,0,0.06231048233592636
761055,57,REGENERON PHARMACEUTICALS,2024,0,0.061114049187754586
125554,129,BRISTOL MYERS SQUIBB,2025,0,0.06036103833375989
215935,3,CALLIDITAS,2023,0,0.05870597930447033
208743,13,RADIUS,2022,0,0.05605282503991634
022454,10,GE HLTHCARE INC,2022,0,0.05317951926211287
761123,3,ASTRAZENECA AB,2023,0,0.05237382256036464
212887,9,VIIV HLTHCARE,2024,0,0.05206834511140691
